did,name,elapsed_sec,n_samples,n_features,n_classes,ratio_samples_per_feature,missing_ratio_overall,missing_col_max,missing_col_min,frac_cols_with_na,num_mean_of_means,num_mean_skew,class_entropy,majority_class_ratio,ratio_num_cat,unique_rows_ratio,logreg_bac,logreg_acc,knn5_bac,best_algo
1590,adult,9.166,48842,14,2,3488.714285714286,0.0094546847853428,0.057511977396503,0.0,0.2142857142857142,31819.97476557062,3.0638608083339345,0.7938438393644256,0.7607182343065395,0.75,0.9988329716227836,0.7641599646452966,0.8516439980586771,0.7522691667623431,logreg_bal
1568,nursery,1.209,12958,8,4,1619.75,0.0,0.0,0.0,0.0,,,1.7145838974189085,0.3333847816020991,0.0,1.0,0.8670452485646809,0.9257595737381534,0.861609297915767,logreg_bal
1560,cardiotocography,0.309,2126,35,3,60.74285714285714,0.0,0.0,0.0,0.0,106.21290686735657,2.392190348466071,0.9742047584181182,0.7784571966133584,inf,0.9948259642521168,0.9833274568468384,0.991063242198288,0.9782342743026854,logreg
1558,bank-marketing,0.433,4521,16,2,282.5625,0.0,0.0,0.0,0.0,255.25819192972477,3.3570318763599354,0.5155217894467282,0.8847600088476001,0.7777777777777778,1.0,0.6468333333333334,0.9009052461741552,0.6087316849816851,logreg_bal
1557,abalone,0.376,4177,8,3,522.125,0.0,0.0,0.0,0.0,0.3827034098293375,0.6203687756176234,1.5839636149471126,0.3464208762269571,7.0,1.0,0.649608216837356,0.652860785605822,0.6169739969241993,logreg
1555,autoUniv-au6-1000,0.319,1000,40,8,25.0,0.0,0.0,0.0,0.0,4239.049820405406,-0.04584203760937,2.9216026617368103,0.24,12.333333333333334,1.0,0.1396392491415122,0.184,0.1341484545034989,logreg
1552,autoUniv-au7-1100,0.269,1100,12,5,91.66666666666669,0.0,0.0,0.0,0.0,1061.5329261363636,0.0628394090672157,2.2806595148216537,0.2772727272727273,2.0,1.0,0.3122733012318238,0.3336363636363636,0.2790412208910069,logreg_bal
1547,autoUniv-au1-1000,0.209,1000,20,2,50.0,0.0,0.0,0.0,0.0,0.4680000000000001,0.1498267243776422,0.8252336065126468,0.741,inf,0.997,0.5432036480891593,0.74,0.5739554991232845,logreg_bal
1526,wall-robot-navigation,13.022,5456,4,4,1364.0,0.0,0.0,0.0,0.0,1.2817708944281527,2.5363941158687298,1.7146327422659768,0.4041422287390029,inf,0.9908357771260996,0.925478636142098,0.9417161054649597,0.9584732500267604,knn5
1507,twonorm,1.94,7400,20,2,370.0,0.0,0.0,0.0,0.0,0.0023114067567567,0.0115705913254739,0.999999525775866,0.5004054054054055,inf,1.0,0.9778358056247808,0.9778378378378376,0.9695945605392936,linsvc
1489,phoneme,1.012,5404,5,2,1080.8,0.0,0.0,0.0,0.0,-1.2287194670162342e-08,0.7794652586095059,0.8731822577241405,0.7065136935603257,inf,0.9983345669874168,0.6673436740209321,0.7499962311988213,0.8421745003352277,knn5
1494,qsar-biodeg,0.934,1055,41,2,25.73170731707317,0.0,0.0,0.0,0.0,2.683521574384464,3.798639220053295,0.9223486063040568,0.6625592417061611,inf,0.9971563981042654,0.8572809559193691,0.875829383886256,0.8429374729592585,logreg
1496,ringnorm,1.77,7400,20,2,370.0,0.0,0.0,0.0,0.0,204.23425000000003,-0.2338108949714019,0.999931710654688,0.5048648648648648,inf,1.0,0.7588435330285067,0.7593243243243243,0.6823123774592027,linsvc
1497,wall-robot-navigation,1.324,5456,24,4,227.33333333333331,0.0,0.0,0.0,0.0,2.04579234634653,1.5222576378064734,1.7146327422659768,0.4041422287390029,inf,1.0,0.6452187321572055,0.7023482170136616,0.8542220111360225,knn5
1504,steel-plates-fault,0.999,1941,33,2,58.81818181818182,0.0,0.0,0.0,0.0,106447.78586589232,3.6458966474516057,0.9311123348674444,0.6532715095311695,inf,1.0,0.998860030555882,0.9989703972649936,0.9824507380897292,linsvc
1481,kr-vs-k,6.64,28056,6,18,4676.0,0.0,0.0,0.0,0.0,3.606073567151411,0.2496874742916007,3.50415902053474,0.1622825777017393,1.0,1.0,0.3055937294845002,0.3273809349901102,0.4634371239219217,knn5
1466,cardiotocography,1.017,2126,35,10,60.74285714285714,0.0,0.0,0.0,0.0,106.21290686735657,2.392190348466071,2.913356388291818,0.2723424270931326,inf,0.9948259642521168,1.0,1.0,0.9966074573161794,logreg
1471,eeg-eye-state,2.635,14980,14,2,1070.0,0.0,0.0,0.0,0.0,4316.882028546157,71.73726620900263,0.992422373387609,0.5512016021361815,inf,1.0,0.5800724172616121,0.598931909212283,0.8621041314509208,knn5
1462,banknote-authentication,0.736,1372,4,2,343.0,0.0,0.0,0.0,0.0,0.6405147434402334,-0.1192914188861706,0.991128125746746,0.5553935860058309,inf,0.9825072886297376,0.983254876583938,0.9817677504976776,0.998030615755074,knn5
1453,PieChart3,0.945,1077,37,2,29.10810810810811,0.0,0.0,0.0,0.0,1405.3119789706143,9.135780975253398,0.541933067099493,0.8755803156917363,inf,1.0,0.5582192433256263,0.8765030146425495,0.5791249924228647,logreg_bal
4154,CreditCardSubset,2.99,14240,30,2,474.6666666666667,0.0,0.0,0.0,0.0,3154.2742740711547,-0.2726868003005685,0.0173075466542745,0.998384831460674,inf,0.9763342696629214,0.7198593035525853,0.998806179775281,0.8848944900322702,knn5
4534,PhishingWebsites,2.011,11055,30,2,368.5,0.0,0.0,0.0,0.0,,,0.99062392274143,0.5569425599276345,0.0,0.5232926277702397,0.9382257372578928,0.9400271370420624,0.9534416125249718,knn5
1459,artificial-characters,1.369,10218,7,10,1459.7142857142858,0.0,0.0,0.0,0.0,15.677500209713951,0.6738720824506815,3.284826011062924,0.1385789782736347,inf,0.4759248385202583,0.3414948702899183,0.3527105107124418,0.6668371991282568,knn5
1461,bank-marketing,6.085,45211,16,2,2825.6875,0.0,0.0,0.0,0.0,245.8171083522657,8.806191925405031,0.5206312212538164,0.8830151954170445,0.7777777777777778,1.0,0.6605705907287309,0.9016832307232352,0.6592580881406999,logreg_bal
4538,GesturePhaseSegmentationProcessed,2.804,9873,32,5,308.53125,0.0,0.0,0.0,0.0,0.0013097793076762,0.953503583747384,2.193423736133549,0.2987946925959688,inf,1.0,0.365929018196252,0.4751339053262026,0.5292541632756826,knn5
